0,Unknown,
1,United States,US
2,Alabama,AL
3,Alaska,AK
4,Arizona,AZ
5,Arkansas,AR
6,California,CA
7,Colorado,CO
8,Connecticut,CT
9,Delaware,DE
10,District of Columbia,DC
11,Florida,FL
12,Georgia,GA
13,Hawaii,HI
14,Idaho,ID
15,Illinois,IL
16,Indiana,IN
17,Iowa,IA
18,Kansas,KS
19,Kentucky,KY
20,Louisiana,LA
21,Maine,ME
22,Maryland,MD
23,Massachusetts,MA
24,Michigan,MI
25,Minnesota,MN
26,Mississippi,MS
27,Missouri,MO
28,Montana,MT
29,Nebraska,NE
30,Nevada,NV
31,New Hampshire,NH
32,New Jersey,NJ
33,New Mexico,NM
34,New York,NY
35,North Carolina,NC
36,North Dakota,ND
37,Ohio,OH
38,Oklahoma,OK
39,Oregon,OR
40,Pennsylvania,PA
41,Rhode Island,RI
42,South Carolina,SC
43,South Dakota,SD
44,Tennessee,TN
45,Texas,TX
46,Utah,UT
47,Vermont,VT
48,Virginia,VA
49,Washington,WA
50,West Virginia,WV
51,Wisconsin,WI
52,Wyoming,WY
53,Ontario,ON
54,Quebec,QC
55,Nova Scotia,NS
56,New Brunswick,NB
57,Manitoba,MB
58,British Columbia,BC
59,Prince Edward Island,PE
60,Saskatchewan,SK
61,Alberta,AB
62,Newfoundland and Labrador,NL
